id	title	comments	keywords	primary_care	secondary_inpatient	secondary_outpatient	urgency	source_bse	source_ase	source_eacvi	source_consensus
138	Any indication where the patients clinical status/prognosis precludes intervention			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
139	High VE burden gt 10% on recent Holter	Refer to electrophyisiology for review	ectopy, PVCs, VE burden	not_indicated	indicated	indicated	routine	0	0	0	1
140	Exercise-induced VE burden	Refer to electrophysiology instead	ectopy, PVCs, VE burden	not_indicated	indicated	indicated	routine	0	0	0	1
141	Sustained or paroxysmal AF or atrial flutter with new onset or change in clinical status		AFL, atrial flutter	indicated	indicated	indicated	soon	1	1	1	1
142	Sustained or paroxysmal SVT with previous ECHO and no change in clinical status			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
143	Ventricular arrhythmia	Refer to electrophysiology		not_indicated	indicated	indicated	routine	0	1	1	1
144	LBBB with no previous echocardiogram		LBBB	indicated	indicated	indicated	soon	0	0	0	1
145	RBBB with clinical suspicion of heart disease		RBBB	indicated	indicated	indicated	soon	0	0	0	1
146	RBBB without clinical suspicion of heart disease	Primary care should refer to cardiology for review	RBBB	not_indicated	indicated	indicated	routine	1	1	1	1
147	Inherited channelopathy (e.g. Long QT)			not_indicated	indicated	indicated	routine	0	0	0	1
148	Pre device implant			not_indicated	indicated	indicated	soon	0	0	0	1
149	Infrequent supraventricular or ventricular ectopy with no clinical suspicion of heart disease		ectopy, PVCs, VE, VE burden	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
150	Sinus bradycardia	Referral after discussion with specialist cardiology team. For discussion - consider not_indicated in all groups.		not_indicated	can_be_considered	can_be_considered	can_be_considered	0	1	0	1
151	Tented T-waves in absence of history suggesting cardiac disease			not_indicated	not_indicated	not_indicated	not_indicated	1	1	0	1
152	LAFB in absence of history suggesting cardiac disease			not_indicated	not_indicated	not_indicated	not_indicated	1	1	0	1
153	Palpitations without proof of arrhythmia			not_indicated	not_indicated	not_indicated	not_indicated	1	0	0	1
154	Suspected heart failure and elevated NT-proBNP *	"""Refer to 1-stop HF clinic where available. Where not available, reasonable for primary care to refer direct for ECHO. Timing of referral as per NICE Guidance 2018"""	cardiac failure, heart failure, HF	can_be_considered	indicated	indicated	soon	0	1	1	1
155	Surveillance of known LV dysfunction to monitor effect of medical or device therapy		follow-up, monitoring, surveillance	not_indicated	indicated	indicated	routine	1	1	1	1
156	Surveillance of known LV dysfunction with change in clinical status		follow-up, monitoring, surveillance	not_indicated	indicated	indicated	soon	1	1	1	1
157	Family screening in subjects with 1st degree relative with inherited cardiac disease, inherited valvulopathy or inherited aortopathy.			indicated	indicated	indicated	routine	1	1	1	1
158	Initial investigation in patient with suspected hypertensive heart disease			indicated	indicated	indicated	soon	1	1	1	1
159	Baseline and serial re-evaluations in patients undergoing therapy with cardiotoxic agents			not_indicated	indicated	indicated	soon	1	1	1	1
160	Reassessment  in patients on cancer therapies with significant (gt x2 ULN) rise in cardiac biomarkers [Troponin, NT-proBNP].		cancer, malignancy, oncology	not_indicated	indicated	indicated	routine	0	1	1	1
161	Hypotension in the absence of shock, clinical evidence of significant valvular disease or evidence of acute cardiac pathology such as AMI.			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
162	Routine surveillance in patients with HFPEF		follow-up, monitoring, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	0	1	1	1
163	Routine surveillance of maximally treated patients with HFREF in whom no further intervention is being contemplated and whose clinical status remains satisfactory		follow-up, monitoring, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
164	Routine re-evaluation in hypertension without symptoms or signs of hypertensive heart disease			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
165	Sinus arrhythmia			not_indicated	not_indicated	not_indicated	not_indicated	0	1	0	1
166	Syncope with previous ECHO and no clinical suspicion of heart disease and/or history of possible ICC		blackout, syncope	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
167	Syncope with clinical suspicion of cardiac disease		blackout, syncope	not_indicated	indicated	indicated	soon	1	1	1	1
168	Syncope with family history suggestve of ICC		blackout, family history, syncope	indicated	indicated	indicated	soon	0	0	0	1
169	Probable neurocardiogenic syncope		blackout, syncope	not_indicated	can_be_considered	can_be_considered	can_be_considered	0	0	0	1
170	Chest pain with no other symptoms and no signs of cardiac disease and normal ECG		angina, chest pain	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
171	Chest pain with abnormal ECG	"""ECG abnormalties do not include: sinus bradycardia, sinus arrhythmia or other changes not linked to coronary disease"""	angina, chest pain	not_indicated	indicated	indicated	soon	0	1	0	1
172	Exertional chest pain		angina, chest pain	not_indicated	indicated	indicated	soon	0	1	0	1
173	Non-exertional, non-pleuritic chest pain.		angina, chest pain	not_indicated	not_indicated	not_indicated	not_indicated	0	0	0	1
174	Chest pain with FH of SCD or DCM		angina, chest pain, family history	indicated	indicated	indicated	routine	0	1	1	1
175	Chest pain with recent recreational drug use		angina, chest pain	not_indicated	indicated	indicated	routine	0	1	0	1
176	Murmur with no clinical suspicion of cardiovascular disease and benign family history under the age of 50y and with no previous ECHO.		family history, heart murmur, murmur	indicated	indicated	indicated	routine	1	1	1	1
177	Murmur with clinical suspicion of cardiovascular disease	Removed the word innocent for semantic reasons.	heart murmur, murmur	indicated	indicated	indicated	soon	1	1	1	1
178	Pathological murmur		heart murmur, murmur	indicated	indicated	indicated	soon	0	0	0	1
179	Chest wall deformities and scoliosis pre-operatively			not_indicated	can_be_considered	can_be_considered	can_be_considered	0	1	0	1
180	Fatigue with no other signs and symptoms of cardiovascular disease, a normal ECG, and a benign family history.		family history	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
181	History suggestive of endocarditis with other findings that would fulfill Duke's criteria with or without ECHO		endocarditis, IE, infective endocarditis	not_indicated	indicated	indicated	soon	1	1	1	1
182	Fever screen or CRP screen without findings to fulfil Duke's Criterial for Endocarditis with or without ECHO		endocarditis, IE, infective endocarditis	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
183	Central cyanosis			indicated	indicated	indicated	soon	0	1	0	1
184	Isolated peripheral cyanosis			not_indicated	not_indicated	not_indicated	not_indicated	0	0	0	1
185	Genotype positive screen for ICC			indicated	indicated	indicated	soon	0	0	0	1
186	Desaturation on pulse oximetry with no signs of cardiac decompensation	indicated if suspicion of platypnoea orthodeoxia		not_indicated	can_be_considered	can_be_considered	can_be_considered	0	1	0	1
187	Chromosomal abnormality known to be associated with cardiovascular disease			indicated	indicated	indicated	routine	0	1	1	1
188	Chromosomal abnormality with undefined risk for cardiovascular disease			not_indicated	can_be_considered	can_be_considered	can_be_considered	0	1	0	1
189	Cancer with suspicion of cardiac involvment on axial imaging		cancer, malignancy, oncology	not_indicated	indicated	indicated	soon	0	0	1	1
190	Muscular dystrophy			not_indicated	indicated	indicated	routine	0	1	0	1
191	CKD IV or V with clinical suspicion of cardiovascular disease	Referral via secondary care		not_indicated	indicated	indicated	routine	0	0	0	1
192	Obstructive sleep apnoea			not_indicated	can_be_considered	can_be_considered	can_be_considered	0	0	0	1
193	Diabetes with no clinical suspicion of cardiac disease			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
194	Dyslipidaemia with no clnical suspicion of cardiac disease			not_indicated	not_indicated	not_indicated	not_indicated	0	0	0	1
195	Suspected thromboembolic CVA, with no previous ECHO at, or after, event.	For guideline review		not_indicated	can_be_considered	indicated	soon	1	1	1	1
196	Peripheral arterial embolus with no obvious cause			not_indicated	indicated	indicated	soon	0	1	0	1
197	Seizures, other neurologic disorders, or psychiatric disorders with no clnical suspicion of cardiac disese.			not_indicated	not_indicated	not_indicated	not_indicated	0	1	0	1
198	Storage diseases, mitochondrial and metabolic disorders.			not_indicated	indicated	indicated	routine	0	1	0	1
199	Suspected PE, not confirmed.			not_indicated	can_be_considered	not_indicated	can_be_considered	0	0	0	1
200	Confirmed acute PE where thrombolysis or thrombectomy may be considered (severe hypoxaemia, haemodynamic instability)			not_indicated	indicated	indicated	urgent	1	1	1	1
201	Confirmed PE where thombecomy or thrombolysis will not be considered regardless of ECHO findings			not_indicated	can_be_considered	not_indicated	can_be_considered	0	1	1	1
202	Severe deceleration injury or chest trauma where cardiac injury is possible or suspected			not_indicated	indicated	indicated	soon	1	1	1	1
203	Routine evaluation in the setting of mild chest trauma with no electrocardiographic changes or biomarker elevation			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
204	Initial evaluation when there is a reasonable suspicion of valvular or structural heart disease			indicated	indicated	indicated	soon	1	1	1	1
205	Routine surveillance (lessThan 5 year) of mild valvular stenosis without a change in clinical status or cardiac exam		follow-up, monitoring, narrowing, stenosis, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
206	Routine surveillance (gtorequal 5 y) of mild valvular stenosis without a change in clinical status or cardiac exam		follow-up, monitoring, narrowing, stenosis, surveillance	indicated	indicated	indicated	soon	1	1	1	1
207	Routine surveillance (lessThan1 y) of moderate valvular stenosis without a change in clinical status or cardiac exam		follow-up, monitoring, narrowing, stenosis, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
208	Routine surveillance (gtorequal 1 y) of moderate valvular stenosis without a change in clinical status or cardiac exam		follow-up, monitoring, narrowing, stenosis, surveillance	not_indicated	indicated	indicated	soon	1	1	1	1
209	Routine surveillance of trace valvular regurgitation with structurally normal valves		follow-up, insufficiency, monitoring, regurgitation, surveillance, valve, valvular	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
210	Routine surveillance (lessThan 5 y) of mild valvular regurgitation without a change in clinical status or cardiac exam		follow-up, insufficiency, monitoring, regurgitation, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
211	Routine surveillance (gtorequal 5 y) of mild valvular regurgitation without a change in clinical status or cardiac exam		follow-up, insufficiency, monitoring, regurgitation, surveillance	indicated	indicated	indicated	soon	1	1	1	1
212	Routine surveillance (lessThan 1 y) of moderate  valvular regurgitation without a change in clinical status or cardiac exam		follow-up, insufficiency, monitoring, regurgitation, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
213	Routine surveillance (gtorequal 1 y) of moderate  valvular regurgitation without change in clinical status or cardiac exam		follow-up, insufficiency, monitoring, regurgitation, surveillance	not_indicated	indicated	indicated	soon	1	1	1	1
214	Initial postoperative evaluation of prosthetic valve for establishment of baseline		valve, valvular	not_indicated	indicated	indicated	soon	1	1	1	1
215	Routine surveillance (lessThan 5 y after valve implantation) of bioprosthetic valve if no known or suspected valve dysfunction on post operative scan (excludes TAVI)		follow-up, monitoring, surveillance, TAVI, valve, valve intervention, valvular	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
216	Routine surveillance (gtorequal 5 y after valve implantation) of bioprosthetic valve if no known or suspected valve dysfunction on post operative scan (excludes TAVI)		follow-up, monitoring, surveillance, TAVI, valve, valve intervention, valvular	indicated	indicated	indicated	soon	1	1	1	1
217	Evaluation of prosthetic valve with suspected dysfunction or a change in clinical status or cardiac exam		valve, valvular	not_indicated	indicated	indicated	soon	1	1	1	1
218	Re-evaluation of known prosthetic valve dysfunction when it would change management or guide therapy		valve, valvular	not_indicated	indicated	indicated	routine	1	1	1	1
219	Suspected cardiac mass			not_indicated	indicated	indicated	soon	0	1	0	1
220	Suspected pericardial disease			not_indicated	indicated	indicated	soon	0	0	0	1
221	Evaluation of the ascending aorta in the setting of a known or suspected connective tissue disease or genetic condition that predisposes to aortic aneurysm or dissection (e.g., Marfan syndrome).		aorta, aortic, Marfan, Marfan syndrome	indicated	indicated	indicated	soon	1	1	1	1
222	Re-evaluation of known ascending aortic dilation or history of aortic dissection to establish a baseline rate of expansion or when the rate of expansion is excessive		aorta, aortic	not_indicated	indicated	indicated	soon	1	1	1	1
223	Re-evaluation of known ascending aortic dilation or history of aortic dissection with a change in clinical status or cardiac exam or when findings may alter management or therapy		aorta, aortic	not_indicated	indicated	indicated	soon	1	1	1	1
224	Routine re-evaluation for surveillance of known ascending aortic dilation or history of aortic dissection without a change in clinical status or cardiac exam when findings would not change management or therapy (excludes bicuspid aortic valve related disease)		aorta, aortic, follow-up, monitoring, surveillance, valve, valvular	not_indicated	not_indicated	can_be_considered	can_be_considered	1	1	1	1
225	Routine re-evaluation of systemic hypertension without symptoms or signs of hypertensive heart disease			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
226	Re-evaluation of known hypertensive heart disease without a change in clinical status or cardiac exam			not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
227	To determine candidacy for ventricular assist device			not_indicated	indicated	indicated	routine	0	1	1	1
228	Optimization of ventricular assist device settings			not_indicated	indicated	indicated	routine	0	1	0	1
229	Re-evaluation for signs/symptoms suggestive of ventricular assist device-related complications			not_indicated	indicated	indicated	routine	1	1	1	1
230	Monitoring for rejection in a cardiac transplant recipient			not_indicated	indicated	indicated	routine	0	1	1	1
231	Cardiac structure and function evaluation in a potential heart donor			not_indicated	indicated	indicated	routine	1	1	1	1
232	Routine surveillance (lessThan1 y) of known cardiomyopathy without a change in clinical status or cardiac exam or change in therapy		cardiomyopathy, CM, follow-up, monitoring, surveillance	not_indicated	not_indicated	not_indicated	not_indicated	1	1	1	1
233	Initial evaluation of known or suspected adult congenital heart disease		ACHD, CHD, congenital	not_indicated	indicated	indicated	soon	1	1	1	1
234	Known adult congenital heart disease with a change in clinical status or cardiac exam		ACHD, CHD, congenital	not_indicated	indicated	indicated	soon	1	1	1	1
