primarykey	title	comments	secondary_outpatient	secondary_inpatient	primary_care	source_bse	source_ase	source_eacvi	source_consensus	keywords	contexts
199	Any indication where the patients clinical status/prognosis precludes intervention		not_indicated	not_indicated	not_indicated	0	0	0	0	General	General
200	High VE burden gt 10% on recent Holter	Refer to electrophyisiology for review	indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
201	Exercise-induced VE burden	Refer to electrophysiology instead	indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
202	Sustained or paroxysmal AF or atrial flutter with new onset or change in clinical status		indicated	indicated	indicated	0	0	0	0		Arrhythmia
203	Sustained or paroxysmal SVT with previous ECHO and no change in clinical status		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
204	Ventricular arrhythmia	Refer to electrophysiology	indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
205	LBBB with no previous echocardiogram		indicated	indicated	indicated	0	0	0	0		Arrhythmia
206	RBBB with clinical suspicion of heart disease		indicated	indicated	indicated	0	0	0	0		Arrhythmia
207	RBBB without clinical suspicion of heart disease	Primary care should refer to cardiology for review	indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
208	Inherited channelopathy (e.g. Long QT)		indicated	indicated	not_indicated	0	0	0	0		Arrhythmia ; ICC
209	Pre device implant		indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
210	Infrequent supraventricular or ventricular ectopy with no clinical suspicion of heart disease		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
211	Sinus bradycardia	Referral after discussion with specialist cardiology team. For discussion - consider not_indicated in all groups.	can_be_considered	can_be_considered	not_indicated	0	0	0	0		Arrhythmia
212	Tented T-waves in absence of history suggesting cardiac disease		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
213	LAFB in absence of history suggesting cardiac disease		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
214	Palpitations without proof of arrhythmia		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
215	Suspected heart failure and elevated NT-proBNP *	"Refer to 1-stop HF clinic where available. Where not available, reasonable for primary care to refer direct for ECHO. Timing of referral as per NICE Guidance 2018"	indicated	indicated	can_be_considered	0	0	0	0		Myocardial
216	Surveillance of known LV dysfunction to monitor effect of medical or device therapy		indicated	indicated	not_indicated	0	0	0	0		Devices ; Myocardial
217	Surveillance of known LV dysfunction with change in clinical status		indicated	indicated	not_indicated	0	0	0	0		Myocardial
218	"Family screening in subjects with 1st degree relative with inherited cardiac disease, inherited valvulopathy or inherited aortopathy."		indicated	indicated	indicated	0	0	0	0		Myocardial ; Valve
219	Initial investigation in patient with suspected hypertensive heart disease		indicated	indicated	indicated	0	0	0	0		Systemic
220	Baseline and serial re-evaluations in patients undergoing therapy with cardiotoxic agents		indicated	indicated	not_indicated	0	0	0	0		Cancer
221	"Reassessment  in patients on cancer therapies with significant (gt x2 ULN) rise in cardiac biomarkers [Troponin, NT-proBNP]"		indicated	indicated	not_indicated	0	0	0	0		Cancer
222	"Hypotension in the absence of shock, clinical evidence of significant valvular disease or evidence of acute cardiac pathology such as AMI"		not_indicated	not_indicated	not_indicated	0	0	0	0		General
223	Routine surveillance in patients with HFPEF		not_indicated	not_indicated	not_indicated	0	0	0	0		Myocardial
224	Routine surveillance of maximally treated patients with HFREF in whom no further intervention is being contemplated and whose clinical status remains satisfactory		not_indicated	not_indicated	not_indicated	0	0	0	0		Myocardial
225	Routine re-evaluation in hypertension without symptoms or signs of hypertensive heart disease		not_indicated	not_indicated	not_indicated	0	0	0	0		Systemic
226	Sinus arrhythmia		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
227	Syncope with previous ECHO and no clinical suspicion of heart disease and/or history of possible ICC		not_indicated	not_indicated	not_indicated	0	0	0	0		Arrhythmia
228	Syncope with clinical suspicion of cardiac disease		indicated	indicated	not_indicated	0	0	0	0		Arrhythmia
229	Syncope with family history suggestve of ICC		indicated	indicated	indicated	0	0	0	0		ICC ; Arrhythmia
230	Probable neurocardiogenic syncope		can_be_considered	can_be_considered	not_indicated	0	0	0	0		Arrhythmia
231	Chest pain with no other symptoms and no signs of cardiac disease and normal ECG		not_indicated	not_indicated	not_indicated	0	0	0	0		Coronary
232	Chest pain with abnormal ECG	"ECG abnormalties do not include: sinus bradycardia, sinus arrhythmia or other changes not linked to coronary disease"	indicated	indicated	not_indicated	0	0	0	0		Coronary
233	Exertional chest pain		indicated	indicated	not_indicated	0	0	0	0		Coronary
234	"Non-exertional, non-pleuritic chest pain"		not_indicated	not_indicated	not_indicated	0	0	0	0		Coronary
235	Chest pain with FH of SCD or DCM		indicated	indicated	indicated	0	0	0	0		Coronary ; ICC
236	Chest pain with recent recreational drug use		indicated	indicated	not_indicated	0	0	0	0		Coronary
237	Murmur with no clinical suspicion of cardiovascular disease and benign family history under the age of 50y and with no previous ECHO.		indicated	indicated	indicated	0	0	0	0		Valve
238	Murmur with clinical suspicion of cardiovascular disease	Removed the word innocent for semantic reasons.	indicated	indicated	indicated	0	0	0	0		Valve
239	Pathological murmur		indicated	indicated	indicated	0	0	0	0		Valve
240	Chest wall deformities and scoliosis pre-operatively		can_be_considered	can_be_considered	not_indicated	0	0	0	0		General ; ACHD
241	"Fatigue with no other signs and symptoms of cardiovascular disease, a normal ECG, and a benign family history"		not_indicated	not_indicated	not_indicated	0	0	0	0		General
242	History suggestive of endocarditis with other findings that would fulfill Duke's criteria with or without ECHO		indicated	indicated	not_indicated	0	0	0	0		Valve
243	Fever screen or CRP screen without findings to fulfil Duke's Criterial for Endocarditis with or without ECHO		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
244	Central cyanosis		indicated	indicated	indicated	0	0	0	0		General
245	Isolated peripheral cyanosis		not_indicated	not_indicated	not_indicated	0	0	0	0		General
246	Genotype positive screen for ICC		indicated	indicated	indicated	0	0	0	0		ICC
247	Desaturation on pulse oximetry with no signs of cardiac decompensation	indicated if suspicion of platypnoea orthodeoxia	can_be_considered	can_be_considered	not_indicated	0	0	0	0		General
248	Chromosomal abnormality known to be associated with cardiovascular disease		indicated	indicated	indicated	0	0	0	0		ICC
249	Chromosomal abnormality with undefined risk for cardiovascular disease		can_be_considered	can_be_considered	not_indicated	0	0	0	0		ICC
250	Cancer with suspicion of cardiac involvment on axial imaging		indicated	indicated	not_indicated	0	0	0	0		Cancer
251	Muscular dystrophy		indicated	indicated	not_indicated	0	0	0	0		ICC
252	CKD IV or V with clinical suspicion of cardiovascular disease	Referral via secondary care	indicated	indicated	not_indicated	0	0	0	0		Systemic
253	Obstructive sleep apnoea		can_be_considered	can_be_considered	not_indicated	0	0	0	0		General
254	Diabetes with no clinical suspicion of cardiac disease		not_indicated	not_indicated	not_indicated	0	0	0	0		General
255	Dyslipidaemia with no clnical suspicion of cardiac disease		not_indicated	not_indicated	not_indicated	0	0	0	0		General
256	"Suspected thromboembolic CVA, with no previous ECHO at, or after, event."	For guideline review	indicated	can_be_considered	not_indicated	0	0	0	0		Non-Cardiac
257	Peripheral arterial embolus with no obvious cause		indicated	indicated	not_indicated	0	0	0	0		Systemic
258	"Seizures, other neurologic disorders, or psychiatric disorders with no clnical suspicion of cardiac disese"		not_indicated	not_indicated	not_indicated	0	0	0	0		General
259	"Storage diseases, mitochondrial and metabolic disorders"		indicated	indicated	not_indicated	0	0	0	0		ICC
260	"Suspected PE, not confirmed"		not_indicated	can_be_considered	not_indicated	0	0	0	0		Venous ; General
261	"Confirmed acute PE where thrombolysis or thrombectomy may be considered (severe hypoxaemia, haemodynamic instability)"		indicated	indicated	not_indicated	0	0	0	0		Venous ; General
262	Confirmed PE where thombecomy or thrombolysis will not be considered regardless of ECHO findings		not_indicated	can_be_considered	not_indicated	0	0	0	0		Venous ; General
263	Severe deceleration injury or chest trauma where cardiac injury is possible or suspected		indicated	indicated	not_indicated	0	0	0	0		Systemic
264	Routine evaluation in the setting of mild chest trauma with no electrocardiographic changes or biomarker elevation		not_indicated	not_indicated	not_indicated	0	0	0	0		Systemic
265	Initial evaluation when there is a reasonable suspicion of valvular or structural heart disease		indicated	indicated	indicated	0	0	0	0		General ; Valve
266	Routine surveillance (lessThan 5 year) of mild valvular stenosis without a change in clinical status or cardiac exam		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
267	Routine surveillance (gtorequal 5 y) of mild valvular stenosis without a change in clinical status or cardiac exam		indicated	indicated	indicated	0	0	0	0		Valve
268	Routine surveillance (lessThan1 y) of moderate valvular stenosis without a change in clinical status or cardiac exam		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
269	Routine surveillance (gtorequal 1 y) of moderate valvular stenosis without a change in clinical status or cardiac exam		indicated	indicated	not_indicated	0	0	0	0		Valve
270	Routine surveillance of trace valvular regurgitation with structurally normal valves		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
271	Routine surveillance (lessThan 5 y) of mild valvular regurgitation without a change in clinical status or cardiac exam		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
272	Routine surveillance (gtorequal 5 y) of mild valvular regurgitation without a change in clinical status or cardiac exam		indicated	indicated	indicated	0	0	0	0		Valve
273	Routine surveillance (lessThan 1 y) of moderate  valvular regurgitation without a change in clinical status or cardiac exam		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
274	Routine surveillance (gtorequal 1 y) of moderate  valvular regurgitation without change in clinical status or cardiac exam		indicated	indicated	not_indicated	0	0	0	0		Valve
275	Initial postoperative evaluation of prosthetic valve for establishment of baseline		indicated	indicated	not_indicated	0	0	0	0		Valve
276	Routine surveillance (lessThan 5 y after valve implantation) of bioprosthetic valve if no known or suspected valve dysfunction on post operative scan (excludes TAVI)		not_indicated	not_indicated	not_indicated	0	0	0	0		Valve
