id	title	description	keywords	comments	primary_care	secondary_inpatient	secondary_outpatient	source_ase	source_eacvi	source_bse	source_consensus	created_at	updated_at
138	"Any indication where the patients clinical status/prognosis precludes intervention"	""	""	""	not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-14 22:21:50"
139	"High VE burden gt 10% on recent Holter"			"Refer to electrophyisiology for review"	not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
140	"Exercise-induced VE burden"			"Refer to electrophysiology instead"	not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
141	"Sustained or paroxysmal AF or atrial flutter with new onset or change in clinical status"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
142	"Sustained or paroxysmal SVT with previous ECHO and no change in clinical status"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
143	"Ventricular arrhythmia"			"Refer to electrophysiology"	not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
144	"LBBB with no previous echocardiogram"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
145	"RBBB with clinical suspicion of heart disease"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
146	"RBBB without clinical suspicion of heart disease"			"Primary care should refer to cardiology for review"	not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
147	"Inherited channelopathy (e.g. Long QT)"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
148	"Pre device implant"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
149	"Infrequent supraventricular or ventricular ectopy with no clinical suspicion of heart disease"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
150	"Sinus bradycardia"			"Referral after discussion with specialist cardiology team. For discussion - consider not_indicated in all groups."	not_indicated	can_be_considered	can_be_considered	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
151	"Tented T-waves in absence of history suggesting cardiac disease"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
152	"LAFB in absence of history suggesting cardiac disease"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
153	"Palpitations without proof of arrhythmia"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
154	"Suspected heart failure and elevated NT-proBNP *"			"""Refer to 1-stop HF clinic where available. Where not available, reasonable for primary care to refer direct for ECHO. Timing of referral as per NICE Guidance 2018"""	can_be_considered	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
155	"Surveillance of known LV dysfunction to monitor effect of medical or device therapy"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
156	"Surveillance of known LV dysfunction with change in clinical status"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
157	"Family screening in subjects with 1st degree relative with inherited cardiac disease, inherited valvulopathy or inherited aortopathy."				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-12 00:12:33"
158	"Initial investigation in patient with suspected hypertensive heart disease"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
159	"Baseline and serial re-evaluations in patients undergoing therapy with cardiotoxic agents"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
160	"Reassessment  in patients on cancer therapies with significant (gt x2 ULN) rise in cardiac biomarkers [Troponin, NT-proBNP]."				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-12 00:13:07"
161	"Hypotension in the absence of shock, clinical evidence of significant valvular disease or evidence of acute cardiac pathology such as AMI."				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-12 00:12:50"
162	"Routine surveillance in patients with HFPEF"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
163	"Routine surveillance of maximally treated patients with HFREF in whom no further intervention is being contemplated and whose clinical status remains satisfactory"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
164	"Routine re-evaluation in hypertension without symptoms or signs of hypertensive heart disease"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
165	"Sinus arrhythmia"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
166	"Syncope with previous ECHO and no clinical suspicion of heart disease and/or history of possible ICC"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
167	"Syncope with clinical suspicion of cardiac disease"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
168	"Syncope with family history suggestve of ICC"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
169	"Probable neurocardiogenic syncope"				not_indicated	can_be_considered	can_be_considered	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
170	"Chest pain with no other symptoms and no signs of cardiac disease and normal ECG"				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
171	"Chest pain with abnormal ECG"			"""ECG abnormalties do not include: sinus bradycardia, sinus arrhythmia or other changes not linked to coronary disease"""	not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
172	"Exertional chest pain"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
173	"Non-exertional, non-pleuritic chest pain."				not_indicated	not_indicated	not_indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-12 00:12:58"
174	"Chest pain with FH of SCD or DCM"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
175	"Chest pain with recent recreational drug use"				not_indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
176	"Murmur with no clinical suspicion of cardiovascular disease and benign family history under the age of 50y and with no previous ECHO."				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
177	"Murmur with clinical suspicion of cardiovascular disease"			"Removed the word innocent for semantic reasons."	indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
178	"Pathological murmur"				indicated	indicated	indicated	0	0	0	0	"2025-12-01 19:01:06"	"2025-12-01 19:01:06"
